"","title","releaseYear","genre","sequel","hitFlop"
"824","Dabangg",2010,"Action | Comedy | Crime","0",8
"831","Tere Bin Laden",2010,"Comedy | Drama","0",3
"849","I Hate Luv Storys",2010,"Comedy | Drama | Romance","0",6
"866","Khichdi: The Movie",2010,"Comedy | Drama | Family","0",4
"693","Don 2",2011,"Action | Crime | Drama","1",6
"789","Ra.One",2011,"Action | Adventure | Sci-Fi","0",6
"790","Zindagi Na Milegi Dobara",2011,"Adventure | Comedy | Drama","0",6
"847","F.A.L.T.U",2011,"Comedy | Drama","0",4
"854","Tanu Weds Manu",2011,"Comedy | Drama | Romance","0",6
"859","Ready",2011,"Comedy | Romance","0",8
"864","Bodyguard",2011,"Romance","0",8
"865","No One Killed Jessica",2011,"Crime | Drama | Thriller","0",5
"871","Mere Brother Ki Dulhan",2011,"Comedy | Drama | Romance","0",6
"876","Yeh Saali Zindagi",2011,"Crime | Drama | Thriller","0",3
"881","Yamla Pagla Deewana",2011,"Action | Comedy | Drama","0",6
"905","RockStar",2011,"Music | Musical","0",5
"915","Chalo Dilli",2011,"Comedy | Drama","0",3
"917","Haunted - 3D",2011,"Horror | Mystery | Thriller","0",6
"919","Ragini MMS",2011,"Drama | Horror | Mystery","0",5
"934","Murder 2",2011,"Action | Crime | Drama","1",7
"937","Pyaar Ka Punchnama",2011,"Comedy | Drama | Romance","0",4
"939","Delhi Belly",2011,"Comedy | Crime | Drama","0",6
"943","Bheja Fry 2",2011,"Comedy | Drama","1",3
"948","Singham",2011,"Action | Crime | Drama","0",7
"951","The Dirty Picture",2011,"Biography | Comedy | Drama","0",7
"953","Ladies vs. Ricky Bahl",2011,"Comedy | Drama","NULL",4
"996","Saheb Biwi Aur Gangster",2011,"Action | Crime | Drama","0",3
"856","Ek Main Aur Ekk Tu",2012,"Comedy | Drama | Romance","0",4
"863","Bol Bachchan",2012,"Comedy","0",6
"886","Talaash",2012,"Crime | Drama | Mystery","0",5
"896","Kahaani",2012,"Drama | Mystery | Thriller","0",6
"909","Agneepath",2012,"Action | Crime | Drama","0",7
"950","Heroine",2012,"Drama","0",3
"952","Gangs of Wasseypur",2012,"Action | Crime | Drama","0",3
"961","Housefull 2",2012,"Comedy | Romance","1",7
"975","Ek Tha Tiger",2012,"Action | Romance | Thriller","0",8
"977","Kyaa Super Kool Hain Hum",2012,"Comedy","1",5
"997","Rowdy Rathore",2012,"Action | Comedy","0",8
"998","Barfi!",2012,"Adventure | Comedy | Drama","0",7
"1006","Dabangg 2",2012,"Action | Comedy | Drama","1",8
"1008","Ferrari Ki Sawaari",2012,"Crime | Family | Sport","0",5
"1010","Tere Naal Love Ho Gaya",2012,"Comedy | Romance","0",3
"1013","Raaz 3: The Third Dimension",2012,"Horror | Romance | Thriller","1",7
"1017","Khiladi 786",2012,"Action | Comedy","0",4
"1018","Cocktail",2012,"Comedy | Drama | Romance","0",6
"1019","Student of the Year",2012,"Comedy | Romance","0",5
"1021","Jab Tak Hai Jaan",2012,"Drama | Romance","0",6
"1023","Son of Sardaar",2012,"Action | Comedy | Romance","0",6
"1024","English Vinglish",2012,"Comedy | Drama | Family","0",5
"1049","1920: Evil Returns",2012,"Drama | Horror | Romance","1",5
"1055","Jism 2",2012,"Drama | Romance | Thriller","1",5
"1078","Born to Hate... Destined to Love",2012,"Action | Drama | Romance","0",4
"1081","Hate Story",2012,"Thriller","0",4
"1084","Vicky Donor",2012,"Comedy | Romance","0",6
"1086","Jannat 2",2012,"Crime | Drama | Thriller","1",5
"556","Krrish 3",2013,"Action | Sci-Fi","1",8
"732","Race 2",2013,"Action | Crime | Drama","1",5
"902","Dhoom: 3",2013,"Action | Crime | Thriller","1",9
"1005","Chennai Express",2013,"Action | Comedy | Romance","0",8
"1022","Yeh Jawaani Hai Deewani",2013,"Drama | Musical | Romance","0",8
"1040","Aashiqui 2",2013,"Drama | Music | Musical","1",8
"1044","Kai po che!",2013,"Drama | Sport","0",5
"1046","Goliyon Ki Rasleela Ram-Leela",2013,"Drama | Musical | Romance","0",6
"1056","Table No. 21",2013,"Adventure | Thriller","0",3
"1076","Shootout at Wadala",2013,"Action | Crime","1",4
"1087","ABCD (Any Body Can Dance)",2013,"Music | Western","0",5
"1089","Mere Dad Ki Maruti",2013,"Comedy","0",3
"1095","Nautanki Saala!",2013,"Comedy","0",3
"1100","The Lunchbox",2013,"Drama | Romance","0",4
"1104","Bhaag Milkha Bhaag",2013,"Biography | Drama | History","0",7
"1109","Raanjhanaa",2013,"Drama | Romance","0",6
"1111","Saheb Biwi Aur Gangster Returns",2013,"Action | Crime | Drama","1",3
"1113","R... Rajkumar",2013,"Action | Comedy | Romance","0",4
"1116","Special 26",2013,"Crime | Drama | Thriller","0",5
