"","Movie_Title","Action","Animation","Mystery","Comedy","Drama","Family","Horror","Romance","Thriller","Adventure","SciFi"
"163","How to Train Your Dragon 2",1,1,0,1,0,1,0,0,0,1,0
"164","Gods of Egypt",1,0,0,0,0,0,0,0,0,1,0
"165","Stealth",1,0,0,0,0,0,0,0,1,1,1
"166","Watchmen",1,0,1,0,1,0,0,0,0,0,1
"167","Lethal Weapon 4",1,0,0,0,0,0,0,0,1,0,0
"168","Hulk",1,0,0,0,0,0,0,0,0,0,1
"169","G.I. Joe: Retaliation",1,0,0,0,0,0,0,0,1,1,1
"170","Sahara",1,0,0,1,0,0,0,0,1,1,0
"171","Final Fantasy: The Spirits Within",1,1,0,0,0,0,0,1,0,1,1
"172","Captain America: The First Avenger",1,0,0,0,0,0,0,0,0,1,1
"173","The World Is Not Enough",1,0,0,0,0,0,0,0,1,1,0
"174","Master and Commander: The Far Side of the World",1,0,0,0,1,0,0,0,0,1,0
"175","The Twilight Saga: Breaking Dawn - Part 2",0,0,0,0,1,0,0,1,0,1,0
"176","Happy Feet 2",0,1,0,1,0,1,0,0,0,0,0
"177","The Incredible Hulk",1,0,0,0,0,0,0,0,0,1,1
"178","Miami Vice            ",1,0,1,0,1,0,0,0,1,0,0
"179","The BFG",0,0,0,0,0,1,0,0,0,1,0
"180","The Revenant",0,0,0,0,1,0,0,0,1,1,0
"181","Turbo",0,1,0,1,0,1,0,0,0,1,0
"182","Rango",0,1,0,1,0,1,0,0,0,1,0
"183","Penguins of Madagascar",0,1,0,1,0,1,0,0,0,1,0
"184","The Bourne Ultimatum",1,0,1,0,0,0,0,0,1,0,0
"185","Kung Fu Panda",1,1,0,1,0,1,0,0,0,1,0
"186","Ant-Man",1,0,0,1,0,0,0,0,0,1,1
"187","The Hunger Games: Catching Fire",0,0,0,0,0,0,0,0,1,1,1
"188","The Twilight Saga: Breaking Dawn - Part 2",0,0,0,0,1,0,0,1,0,1,0
"189","Home",0,1,0,1,0,1,0,0,0,1,1
"190","War of the Worlds",0,0,0,0,0,0,0,0,1,1,1
"191","Bad Boys II",1,0,0,1,0,0,0,0,1,0,0
"192","Puss in Boots",1,1,0,1,0,1,0,0,0,1,0
"193","Salt",1,0,1,0,0,0,0,0,1,0,0
"194","Noah",1,0,0,0,1,0,0,0,0,1,0
"195","The Adventures of Tintin",1,0,1,0,0,1,0,0,0,1,0
"196","Harry Potter and the Prisoner of Azkaban",0,0,1,0,0,1,0,0,0,1,0
"197","Australia",0,0,0,0,1,0,0,1,0,1,0
"198","After Earth",1,0,0,0,0,0,0,0,0,1,1
"199","Dinosaur",0,1,0,0,0,1,0,0,1,1,0
"200","Harry Potter and the Deathly Hallows: Part II",1,0,0,0,0,0,0,0,0,0,0
"201","Night at the Museum: Secret of the Tomb",0,0,0,1,0,1,0,0,0,1,0
"202","Megamind",1,1,0,1,0,1,0,0,0,0,1
"203","Harry Potter and the Sorcerer's Stone",0,0,0,0,0,1,0,0,0,1,0
"204","R.I.P.D.",1,0,0,1,0,0,0,0,0,0,0
"205","Godzilla Resurgence",1,0,0,0,1,0,1,0,0,1,1
"206","Pirates of the Caribbean: The Curse of the Black Pearl",1,0,0,0,0,0,0,0,0,1,0
"207","Harry Potter and the Deathly Hallows: Part I",0,0,0,0,0,0,0,0,0,0,0
"208","The Hunger Games: Mockingjay - Part 1",0,0,0,0,0,0,0,0,1,1,1
"209","The Da Vinci Code",0,0,1,0,0,0,0,0,1,0,0
"210","Rio 2",0,1,0,1,0,1,0,0,0,1,0
"211","X-Men 2",1,0,0,0,0,0,0,0,1,1,1
"212","Fast Five",1,0,0,0,0,0,0,0,1,0,0
"213","Sherlock Holmes: A Game of Shadows",1,0,1,0,0,0,0,0,1,1,0
"214","Clash of the Titans",1,0,0,0,0,0,0,0,0,1,0
"215","Total Recall",1,0,0,0,0,0,0,0,0,0,1
"216","The 13th Warrior",1,0,0,0,0,0,0,0,0,1,0
"217","The Bourne Legacy",1,0,0,0,0,0,0,0,1,1,0
"218","Batman & Robin",1,0,0,0,0,0,0,0,0,0,0
"219","How the Grinch Stole Christmas",0,0,0,1,0,1,0,0,0,0,0
"220","The Day After Tomorrow",1,0,0,0,0,0,0,0,1,1,1
"221","Mission: Impossible II",1,0,0,0,0,0,0,0,1,1,0
"222","The Perfect Storm",1,0,0,0,1,0,0,0,1,1,0
"223","Fantastic 4: Rise of the Silver Surfer",1,0,0,0,0,0,0,0,1,1,1
"224","Life of Pi",0,0,0,0,1,0,0,0,0,1,0
"225","Ghost Rider",1,0,0,0,0,0,0,0,1,0,0
"226","Jason Bourne",1,0,0,0,0,0,0,0,1,0,0
"227","Charlie's Angels: Full Throttle",1,0,0,1,0,0,0,0,0,1,0
"228","Prometheus",0,0,1,0,0,0,0,0,0,1,1
"229","Stuart Little 2",0,1,0,1,0,1,0,0,0,1,0
"230","Elysium",1,0,0,0,1,0,0,0,1,0,1
"231","The Chronicles of Riddick",1,0,0,0,0,0,0,0,1,1,1
"232","RoboCop",1,0,0,0,0,0,0,0,1,0,1
"233","Speed Racer",1,0,0,0,0,1,0,0,0,0,0
"234","How Do You Know",0,0,0,1,1,0,0,1,0,0,0
"235","Knight and Day",1,0,0,1,0,0,0,1,0,0,0
"236","Oblivion",1,0,1,0,0,0,0,0,0,1,1
"237","Star Wars: Episode III - Revenge of the Sith",1,0,0,0,0,0,0,0,0,1,1
"238","Star Wars: Episode II - Attack of the Clones",1,0,0,0,0,0,0,0,0,1,1
"239","Monsters, Inc.",0,1,0,1,0,1,0,0,0,1,0
"240","The Wolverine",1,0,0,0,0,0,0,0,1,1,1
"241","Star Wars: Episode I - The Phantom Menace",1,0,0,0,0,0,0,0,0,1,1
"242","The Croods",0,1,0,1,0,1,0,0,0,1,0
"243","Asterix at the Olympic Games",0,0,0,1,0,1,0,0,0,1,0
"244","Windtalkers",1,0,0,0,1,0,0,0,0,0,0
"245","The Huntsman: Winter's War",1,0,0,0,1,0,0,0,0,1,0
"246","Teenage Mutant Ninja Turtles",1,0,0,1,0,0,0,0,0,1,1
"247","Gravity",0,0,0,0,1,0,0,0,1,1,1
"248","Dante's Peak",1,0,0,0,0,0,0,0,1,1,0
"249","Teenage Mutant Ninja Turtles: Out of the Shadows",1,0,0,1,0,0,0,0,0,1,1
"250","Fantastic Four",1,0,0,0,0,0,0,0,0,1,1
"251","Night at the Museum",1,0,0,1,0,1,0,0,0,1,0
"252","San Andreas",1,0,0,0,1,0,0,0,1,1,0
"253","Tomorrow Never Dies",1,0,0,0,0,0,0,0,1,1,0
"254","The Patriot",1,0,0,0,1,0,0,0,0,0,0
"255","Ocean's Twelve",0,0,0,0,0,0,0,0,1,0,0
"256","Mr. & Mrs. Smith",1,0,0,1,0,0,0,1,1,0,0
"257","Insurgent",0,0,0,0,0,0,0,0,1,1,1
"258","The Aviator",0,0,0,0,1,0,0,0,0,0,0
"259","Gulliver's Travels",0,0,0,1,0,1,0,0,0,1,0
"260","The Green Hornet",1,0,0,1,0,0,0,0,1,0,1
"261","The A-Team            ",1,0,0,0,0,0,0,0,0,1,0
"262","300: Rise of an Empire",1,0,0,0,1,0,0,0,0,0,0
"263","The Smurfs",0,1,0,1,0,1,0,0,0,1,0
